BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
10750000;94098;23;3;116,9;75;12,7;требуется ремонт;1;1;0;2
16000000;125984;;5;127;98;10;;;;0;1
12300000;113889;23;3;108;70;17;евроремонт;1;0;0;1
12500000;148352;;3;91;71;10;дизайнерский ремонт;0;0;1;0
5750000;141975;5;1;45;33;;евроремонт;1;;;1
3700000;119355;;1;31;18;4,5;косметический ремонт;;1;;
11000000;186441;26;2;59;23,5;22,3;косметический ремонт;;1;;
6500000;112069;19;2;58;32;11;требуется ремонт;;1;1;1
19890000;216304;;3;94;70;18;евроремонт;1;;;1
9950000;121341;;3;82;;;требуется ремонт;0;2;0;1
4550000;87963;;2;54;;;требуется ремонт;1;0;0;1
13500000;129234;23;3;112,2;85;12,7;требуется ремонт;2;0;0;2
8500000;207317;24;1;41;16,4;10,2;требуется ремонт;0;1;0;1
11000000;186441;26;2;59;23,5;22,3;;;;0;0
6850000;230284;32;1;31,7;17;9;требуется ремонт;1;1;;
7000000;122807;;2;57;;10;требуется ремонт;0;1;0;0
13250000;311765;;2;42,5;;;требуется ремонт;0;1;0;0
9900000;87456;;3;113,2;66;28;евроремонт;1;;;
8900000;176938;;2;50,3;;15;косметический ремонт;1;0;1;0
10800000;270000;26;1;40;18;18;евроремонт;1;0;0;0
5300000;267677;26;;19,8;9,4;5,1;евроремонт;1;0;0;0
5300000;139474;8;1;38;17,5;10,4;требуется ремонт;;;;1
6000000;141176;;2;42,5;26;7;косметический ремонт;;1;1;1
7500000;164835;8;2;45,5;21,6;8;требуется ремонт;0;1;1;0
8200000;229692;26;1;35,7;10,7;17,1;косметический ремонт;1;0;0;0
7500000;136364;18;2;55;30;14,5;евроремонт;;;1;
17000000;249267;26;3;68,2;35,2;17,2;косметический ремонт;;2;;
4600000;80702;;2;57;43;12;требуется ремонт;0;1;0;1
6600000;146667;;2;45;;10;евроремонт;1;0;1;0
3900000;156000;18;;25;15;4;евроремонт;1;;;
7350000;131250;18;2;56;30;12;евроремонт;;1;1;
9199999;109524;23;2;84;39;17;требуется ремонт;1;0;0;1
8850000;245833;26;1;36;11;17;требуется ремонт;1;0;0;0
11250000;190678;26;2;59;26;22,2;евроремонт;0;1;0;0
6600000;146667;;2;45;;10;евроремонт;0;0;1;0
9400000;111772;23;2;84,1;39,5;17,4;требуется ремонт;2;0;0;1
5600000;146154;15;1;39;16;12,4;;1;1;0;1
4250000;151786;8;1;28;;;требуется ремонт;0;0;0;1
5200000;152941;;1;34;11,6;10,7;евроремонт;1;0;0;0
3500000;100029;;1;34,99;19,5;6;косметический ремонт;1;;1;
6400000;113677;18;2;56,3;27,2;15;косметический ремонт;0;1;0;1
6990000;174750;;1;40;20;9;косметический ремонт;1;;;1
9199999;109524;23;2;84;39;17;требуется ремонт;1;0;0;1
7249999;110015;;2;65,9;28,1;11,4;требуется ремонт;0;1;0;1
8500000;208845;32;1;40,7;12,6;14,8;;;1;;
9000000;178926;;2;50,3;30;15;дизайнерский ремонт;0;1;0;1
6790000;341206;26;;19,9;8,5;5;евроремонт;1;;;
7300000;111594;;2;69;37;17;требуется ремонт;0;1;0;1
8490010;121286;14;2;82,7;;;косметический ремонт;2;;;1
6039999;143810;;1;42;15,3;16;евроремонт;0;1;0;1
6650000;144565;9;2;51;29;26;требуется ремонт;1;1;;1
7500000;156250;18;2;48;27;10;евроремонт;0;1;0;0
7000000;140000;14;2;50;18;14;требуется ремонт;1;;;1
6850000;128157;;2;53,45;30,6;11,2;;1;1;0;1
9000000;183673;;2;49;31;9;требуется ремонт;1;1;1;0
8000000;340426;26;;23,5;;5,9;косметический ремонт;0;1;1;0
4840000;121608;18;1;39,8;15;16,5;требуется ремонт;1;0;0;1
5120000;141828;26;1;36,1;14,4;10,1;косметический ремонт;1;;;1
5100000;126682;;2;44,6;23;7;косметический ремонт;;1;;1
12650000;129234;23;3;112,2;85;12,7;требуется ремонт;;;0;0
6550000;116341;;;56,3;;;требуется ремонт;;;;1
5300000;267677;26;;19,8;9,4;5,1;евроремонт;2;0;0;0
17900000;169508;17;4;105,6;58,4;17,8;;;;;
6850000;195157;;1;35,1;20;9,8;косметический ремонт;1;0;1;0
4500000;150000;;1;30;20;6;евроремонт;1;;2;
4000000;177778;17;;26;16;;косметический ремонт;1;;;1
5100000;137875;18;1;36,99;15,2;14,4;косметический ремонт;1;0;0;1
7290000;123559;7;2;59;30;10,3;косметический ремонт;0;0;1;0
7600000;103154;8;2;76,1;;;требуется ремонт;;;1;
5400000;154857;;1;35;;;евроремонт;1;;1;
6400000;125455;17;2;55;;13;косметический ремонт;0;1;1;0
5599999;157303;;1;35,6;10,1;17;евроремонт;1;0;0;1
330000;133858;;;25,4;11,8;5;требуется ремонт;1;;;1
8900000;73077;;4;130;72;9;евроремонт;2;0;1;0
5150000;159938;8;;32,2;12;6;дизайнерский ремонт;;1;;
8750000;108025;19;2;81;64;15;;0;0;0;0
2999000;49980;;2;70;34;10;косметический ремонт;1;;;
4900000;125641;17;1;39;19;9,5;косметический ремонт;;;;1
7500000;120968;;2;62;;;требуется ремонт;0;2;0;0
6700000;145969;8;2;45,9;26,2;8,5;требуется ремонт;0;1;1;0
12900000;116071;;4;112;;;евроремонт;2;;;
12000000;117702;23;3;108,1;66,6;12,7;требуется ремонт;2;0;1;1
5099990;153731;10;1;33,5;14,8;8,1;;1;1;0;1
6900000;155556;8;2;45;26,1;8,6;требуется ремонт;0;0;1;0
9400000;111772;23;2;84,1;39,5;17,5;требуется ремонт;2;;;1
12500000;208333;;3;60;;;евроремонт;1;;1;
13000000;113043;;4;115;;;евроремонт;2;0;0;0
6900000;125455;17;2;55;;13,4;косметический ремонт;0;1;1;0
6900000;125912;17;2;54,8;;13,6;косметический ремонт;0;1;1;0
5990000;166389;;1;36;10,2;18,1;евроремонт;1;0;0;0
7700000;113043;23;1;69;;;требуется ремонт;1;;;1
9590000;114118;23;2;85;40;;требуется ремонт;;2;;
4200000;171429;18;;24,5;20;4;косметический ремонт;1;;;1
7200000;358209;26;;20,1;17;;евроремонт;1;0;;
9420000;219070;;1;43;19;11;требуется ремонт;0;0;1;0
9400000;223810;;1;42;18;12;требуется ремонт;0;0;1;0
9500000;121639;8;4;78,1;53,9;6,1;требуется ремонт;;2;;2
5490000;134559;19;1;40,8;18;9;требуется ремонт;1;;;1
6200000;191950;8;1;32,3;;;косметический ремонт;0;1;1;0
17000000;163462;;3;104;55;14;требуется ремонт;;;;
6099999;145238;;1;42;15,3;16;евроремонт;0;1;0;1
6000000;157068;19;1;38,2;18;11;дизайнерский ремонт;1;;;1
8800000;195556;19;1;45;;;;;;;
12000000;116667;23;3;108;86,1;12,7;требуется ремонт;1;1;1;1
11030928;186649;;2;59,1;23,6;22,3;косметический ремонт;;;;
3490000;99714;;1;35;18;6;косметический ремонт;1;;1;
10860000;193929;;2;56;40;6;евроремонт;;1;1;
11000000;101852;23;3;108;;12,7;требуется ремонт;0;2;1;1
4000000;105263;;1;38;16,4;;;1;;;1
6600000;148884;;1;44,8;;12,3;косметический ремонт;0;1;1;0
3600000;151261;;;23,8;15,6;4;евроремонт;1;0;0;1
8200000;96471;9;2;85;24;37;требуется ремонт;2;0;0;1
7600000;105556;17;3;72;44;10;евроремонт;0;1;0;1
7000000;218750;;1;32;20;6;евроремонт;1;;0;0
