author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Брусника;https://ekb.cian.ru/sale/flat/291269831/;Екатеринбург;sale;flat;3;9;2;55.16;6460000;2024;21.0;16.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293040426/;Екатеринбург;sale;flat;28;35;1;28.2;4670000;2020;14.0;-1;+79122631024;Железнодорожный;Готвальда;;Татлин
Брусника;https://ekb.cian.ru/sale/flat/291269756/;Екатеринбург;sale;flat;9;9;1;32.18;4680000;2024;7.0;12.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631412/;Екатеринбург;sale;flat;16;16;2;47.0;5000000;1991;24.0;-1;+79122631024;Верх-Исетский;Металлургов;;
Брусника;https://ekb.cian.ru/sale/flat/283976872/;Екатеринбург;sale;flat;2;9;3;87.8;8300000;2024;36.0;17.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/293282109/;Екатеринбург;sale;flat;4;9;3;58.2;6200000;1982;37.0;8.0;+79826874225;Октябрьский;Латвийская;;
Брусника;https://ekb.cian.ru/sale/flat/291269987/;Екатеринбург;sale;flat;3;9;-1;202.0;5270000;2024;13.0;19.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/292314241/;Екатеринбург;sale;flat;2;6;1;29.9;4600000;1965;17.0;5.0;+79826874225;Центр;Луначарского;;
Брусника;https://ekb.cian.ru/sale/flat/288798142/;Екатеринбург;sale;flat;2;9;-1;202.0;6810000;2024;-1;-1;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631413/;Екатеринбург;sale;flat;2;5;1;31.7;3200000;1963;22.0;-1;+79122631024;Орджоникидзевский;40-летия Октября;;
